topic_id,0,1,2,3,4,5,6,7,8,9
0,fear,hill,way,time,cup,love,people,sufferings,life,ends
1,things,joy,world,way,cross,life,man,glory,house,day
2,love,man,things,men,nature,mind,conscience,sense,affections,thing
3,sin,works,righteousness,law,repentance,sins,punishment,man,faith,sinner
4,end,things,business,knowledge,prayer,men,way,women,man,library
5,men,thee,reason,act,man,acts,actions,mind,thou,way
6,affections,things,religion,persons,nature,evidence,men,power,time,mind
7,man,work,grace,life,mind,men,nature,creatures,spirit,heart
8,man,body,glory,things,nature,life,flesh,grace,bread,faith
9,men,things,truth,religion,reason,revelation,people,light,knowledge,word
10,time,letter,way,brother,brethren,account,matter,friends,day,mind
11,town,thou,thee,men,captains,gate,man,place,lord,prince
12,sec,chapter,law,sacraments,doctrine,lib,man,cap,words,chap
13,knowledge,men,things,people,earth,glory,saints,children,heaven,kingdom
14,sins,mercy,righteousness,blood,man,sin,death,forgiveness,sacrifice,salvation
15,way,tom,day,time,wrath,hist,man,house,home,men
16,objection,liberty,worship,sections,answer,men,right,images,refutation,things
17,church,place,power,word,office,people,authority,churches,bishops,apostles
18,life,soul,heart,death,man,body,nature,happiness,way,love
19,faith,baptism,word,words,promise,doctrine,order,passage,men,salvation
